#file	HJD	n_in_ap	x	y	mag_ins	err_mag_ins	mag_std	err_mag_std	sigma
V716_Oph_20170421094149_K.fits	2457864.8988953964	102	859.78	1043.44	12.097	9.9999	10.2018	0.010938007131100701	0.021876014262201402
V716_Oph_20170422081749_K.fits	2457865.8406044384	131	862.53	1166.13	11.991	9.9999	10.099428571428572	0.015165526607372286	0.03714780186866378
V716_Oph_20170422102616_K.fits	2457865.9298098967	88	852.4	955.78	12.095	9.9999	10.151200000000001	0.008867919710958256	0.017735839421916512
V716_Oph_20170423054751_K.fits	2457866.736502433	126	867.83	1223.44	11.824	9.9999	9.964166666666666	0.018323785392519533	0.04097322974279134
V716_Oph_20170423075658_K.fits	2457866.8261710084	95	855.19	1190.76	11.917	0.09	10.028166666666666	0.02066142406622668	0.04620034872403298
V716_Oph_20170424070137_K.fits	2457867.787779523	134	710.3	1245.94	11.849	9.9999	9.9518	0.01934528366295014	0.03869056732590028
V716_Oph_20170425053805_K.fits	2457868.7298166584	152	755.04	1187.42	11.727	9.9999	9.873166666666668	0.016314444860647627	0.03648020772358018
V716_Oph_20170425075653_K.fits	2457868.826210367	105	701.15	1150.34	11.812	9.9999	9.914142857142858	0.015822570634906392	0.03875722447466552
V716_Oph_20170425092332_K.fits	2457868.8863869947	105	681.34	1031.27	11.841	9.9999	9.943999999999999	0.016867127793433263	0.033734255586866525
V716_Oph_20170709035350_K.fits	2457943.663726043	120	671.17	1167.75	11.848	9.9999	9.9586	0.017454512310574863	0.034909024621149726
V716_Oph_20170711021602_K.fits	2457945.59599221	132	666.09	1235.05	11.745	9.9999	9.87825	0.015526187555224285	0.026892145693492076
V716_Oph_20170711035307_K.fits	2457945.6634175507	120	665.23	1147.8	11.791	9.9999	9.8908	0.01277654100294777	0.02555308200589554
V716_Oph_20170711053802_K.fits	2457945.7362832003	65	631.44	957.49	12.337	9.9999	9.8884	0.010027960909377416	0.020055921818754832
V716_Oph_20170716020830_K.fits	2457950.59122562	109	922.25	1207.07	11.934	9.9999	10.055666666666665	0.014639368535258351	0.0327346231925092
V716_Oph_20170717020001_K.fits	2457951.5854254323	91	924.27	1240.36	11.868	0.0087	9.987	0.01432247650838842	0.03202603107890035
V716_Oph_20170717040039_K.fits	2457951.6692062058	101	925.36	1061.81	11.919	9.9999	10.035833333333333	0.005062388544726582	0.011319844914524872
V716_Oph_20170718025426_K.fits	2457952.6233091373	110	942.34	1154.23	11.843	9.9999	9.956666666666669	0.013403150541736408	0.029970355723985743
V716_Oph_20170718045933_K.fits	2457952.710203584	53	912.91	901.95	12.19	9.9999	9.990199999999998	0.008725823743349608	0.017451647486699216
V716_Oph_20170725015002_K.fits	2457959.5792011106	132	730.32	1196.53	11.976	9.9999	10.099333333333336	0.011943384965931808	0.026706220665272534
V716_Oph_20170725035136_K.fits	2457959.6636296785	105	702.04	984.6	12.035	9.9999	10.1464	0.010562196741208915	0.02112439348241783
V716_Oph_20170726014631_K.fits	2457960.57684417	117	723.24	1174.28	11.921	9.9999	10.035833333333331	0.02048156352538683	0.045798168328245195
V716_Oph_20170726032317_K.fits	2457960.6440489306	107	716.94	1035.9	11.966	9.9999	10.080400000000001	0.011923086848631297	0.023846173697262593
V716_Oph_20170727013757_K.fits	2457961.570979089	135	741.11	1201.64	11.83	9.9999	9.959999999999999	0.013738025088539293	0.030719157974571427
V716_Oph_20170727031407_K.fits	2457961.6377671477	105	720.24	1030.95	11.884	9.9999	10.0146	0.016714065932621303	0.03342813186524261
V716_Oph_20170801021257_K.fits	2457966.595696141	85	727.32	1081.13	11.732	0.044	9.825142857142856	0.010666879249582501	0.026128411309359056
V716_Oph_20170801030120_K.fits	2457966.6292983806	71	751.72	1043.19	11.743	9.9999	9.8452	0.010341179816636136	0.020682359633272272
V716_Oph_20170801030904_K.fits	2457966.634669171	62	737.73	1013.17	11.754	9.9999	9.840399999999999	0.01049094847952291	0.02098189695904582
V716_Oph_20170801031654_K.fits	2457966.6401094235	69	734.14	995.79	11.748	9.9999	9.847999999999999	0.011558546621440237	0.023117093242880474
V716_Oph_20170803005018_K.fits	2457968.5384530514	71	778.35	1181.83	11.997	9.9999	10.112833333333333	0.015873282934261393	0.0354937396670958
V716_Oph_20170803020350_K.fits	2457968.5895218407	61	773.88	1112.73	12.043	9.9999	10.135428571428568	0.01210048630045437	0.029640017075651344
V716_Oph_20170803030334_K.fits	2457968.631006556	48	742.64	997.35	12.105	9.9999	10.1832	0.00913454979733538	0.01826909959467076
V716_Oph_20170804004959_K.fits	2457969.538310346	75	778.19	1208.98	11.931	9.9999	10.04	0.016342174477916627	0.03654221303278372
V716_Oph_20170804025437_K.fits	2457969.624867872	73	732.35	988.56	11.999	0.0079	10.093	0.0058566201857386795	0.011713240371477359
V716_Oph_20170807234616_K.fits	2457973.494357738	100	795.56	1180.73	11.764	9.9999	9.869333333333334	0.017878602977986043	0.03997777160150697
V716_Oph_20170808005921_K.fits	2457973.5451137507	71	756.05	1131.42	11.805	9.9999	9.876999999999999	0.012253279444412467	0.030014282314544297
V716_Oph_20170809023345_K.fits	2457974.6107458435	57	992.14	682.32	11.77	9.9999	9.866800000000001	0.007109149034870574	0.014218298069741148
V716_Oph_20170815020402_K.fits	2457980.5905144433	90	1095.01	1033.08	11.89	9.9999	9.986000000000002	0.005567764362830445	0.00787400787401241
V716_Oph_20170816002354_K.fits	2457981.5210365728	116	1139.27	1223.52	11.782	9.9999	9.8985	0.007500000000000284	0.007500000000000284
