#file	HJD	n_in_ap	x	y	mag_ins	err_mag_ins	mag_std	err_mag_std	sigma
V716_Oph_20170727012652_V.fits	2457961.563359794	43	2475.1	1707.14	13.589	0.0048	12.338	0.02	0.0
V716_Oph_20170727025029_V.fits	2457961.621422304	41	2566.82	1628.19	13.611	0.0048	12.398	0.02	0.0
V716_Oph_20170728012247_V.fits	2457962.560444456	42	2480.64	1704.64	13.431	0.0044	12.203	0.02	0.0
V716_Oph_20170728024226_V.fits	2457962.6157525103	39	2699.86	1617.66	13.574	0.0047	12.245999999999999	0.02	0.0
V716_Oph_20170801022505_V.fits	2457966.6033770023	40	2736.36	1589.3	12.459	0.0028	11.228	0.02	0.0
V716_Oph_20170801033951_V.fits	2457966.6552939615	29	2755.4	1607.58	12.643	0.003	11.374	0.02	0.0
V716_Oph_20170804005728_V.fits	2457969.542283597	21	2523.57	1722.02	13.678	0.0051	12.455	0.02	0.0
V716_Oph_20170804023702_V.fits	2457969.611421199	20	2670.44	1635.97	13.699	0.0051	12.468	0.02	0.0
V716_Oph_20170808004308_V.fits	2457973.531983458	44	2561.01	1721.64	13.084	0.0038	11.876999999999999	0.02	0.0
V716_Oph_20170808025544_V.fits	2457973.624058683	40	2499.51	1675.89	13.315	0.0043	12.047999999999998	0.02	0.0
V716_Oph_20170809003455_V.fits	2457974.5261896327	42	2525.21	1714.45	12.835	0.0033	11.557	0.02	0.0
V716_Oph_20170809030308_V.fits	2457974.6291087526	42	2684.19	1625.88	13.126	0.0038	11.839999999999998	0.02	0.0
V716_Oph_20170810004417_V.fits	2457975.532604823	33	2712.37	1645.87	12.477	0.0028	11.244	0.02	0.0
V716_Oph_20170810020818_V.fits	2457975.59094453	46	2654.32	1652.81	12.635	0.003	11.402	0.02	0.0
V716_Oph_20170816013225_V.fits	2457981.565484251	42	2522.78	1624.09	13.495	0.0046	12.232999999999999	0.02	0.0
V716_Oph_20180504071701_V.fits	2458242.808630326	40	2933.84	1725.07	13.726	0.005	12.323	0.02	0.0
V716_Oph_20180507065129_V.fits	2458245.7910065306	39	2457.09	1892.32	12.766	0.0032	11.838999999999999	0.02	0.0
V716_Oph_20180512064317_V.fits	2458250.7854622235	25	2805.54	1833.94	13.385	0.0042	12.469999999999999	0.02	0.0
V716_Oph_20180613052121_V.fits	2458282.728592792	20	2915.85	1700.96	13.002	0.0035	12.046	0.02	0.0
V716_Oph_20180614051141_V.fits	2458283.721854928	40	2708.78	1812.67	13.299	0.0041	11.809	0.02	0.0
V716_Oph_20180617045545_V.fits	2458286.7107060677	45	2604.85	1822.0	13.502	0.0045	12.545	0.02	0.0
V716_Oph_20180621032506_V.fits	2458290.6476234915	39	2985.61	1712.55	13.931	0.0055	12.198999999999998	0.02	0.0
V716_Oph_20180622050022_V.fits	2458291.7137414515	53	2827.39	1657.57	13.113	0.0037	12.148	0.02	0.0
V716_Oph_20180627034822_V.fits	2458296.663536996	41	2984.26	1706.3	13.439	0.0045	12.463999999999999	0.02	0.0
V716_Oph_20180806025701_V.fits	2458336.6251461385	58	2594.56	1731.71	12.924	0.0034	12.440999999999999	0.02	0.0
V716_Oph_20180811024005_V.fits	2458341.6129466104	59	2612.09	1719.56	11.883	0.0021	11.421999999999999	0.02	0.0
V716_Oph_20180811235253_V.fits	2458342.496756073	71	2801.11	1779.21	12.978	0.0035	12.547999999999998	0.02	0.0
V716_Oph_20180813010943_V.fits	2458343.550017407	58	2670.8	1768.81	12.917	0.0034	12.491999999999999	0.02	0.0
V716_Oph_20180816000230_V.fits	2458346.503069815	57	2703.1	1654.25	12.735	0.0031	12.274	0.02	0.0
V716_Oph_20180816235445_V.fits	2458347.497596389	66	2765.04	1645.21	12.548	0.0029	12.110999999999999	0.02	0.0
